district,crop,year,season,area,yield,avg_temp_c,total_precip_mm,primary_soil_type,mean_ph,mean_n,mean_p,mean_k
anugul,Arhar/Tur,2002,Kharif,8730.0,0.693012600229095,27.538856209150325,1014.46,,,,,
anugul,Arhar/Tur,2003,Kharif,9500.0,0.6842105263157895,27.802450980392155,1638.73,,,,,
balangir,Arhar/Tur,2001,Kharif,10010.0,0.4745254745254745,26.29928104575164,1395.75,,,,,
balangir,Arhar/Tur,2002,Kharif,7680.0,0.6315104166666666,27.117254901960788,874.9399999999999,,,,,
balangir,Arhar/Tur,2003,Kharif,9160.0,0.7794759825327511,27.333562091503268,1608.4700000000005,,,,,
baleshwar,Arhar/Tur,2001,Kharif,270.0,0.6296296296296297,27.87333333333333,1432.77,,,,,
baleshwar,Arhar/Tur,2002,Kharif,180.0,0.6666666666666666,28.327222222222225,1052.77,,,,,
baleshwar,Arhar/Tur,2003,Kharif,150.0,0.6,28.627941176470586,1390.98,,,,,
bargarh,Arhar/Tur,2001,Kharif,2420.0,0.950413223140496,27.21676470588235,1325.66,"Mixed Red & Yellow, Black, Mixed Red & Black",,,,
bargarh,Arhar/Tur,2002,Kharif,2200.0,0.7318181818181818,28.20607843137256,755.14,"Mixed Red & Yellow, Black, Mixed Red & Black",,,,
bargarh,Arhar/Tur,2003,Kharif,2260.0,0.7831858407079646,28.14333333333333,1641.48,"Mixed Red & Yellow, Black, Mixed Red & Black",,,,
bhadrak,Arhar/Tur,2001,Kharif,20.0,1.0,27.40179738562092,1566.42,"Coastal Salt Affected Alluvial, Deltaic Alluvial",,,,
bhadrak,Arhar/Tur,2002,Kharif,30.0,1.0,27.877156862745096,1087.81,"Coastal Salt Affected Alluvial, Deltaic Alluvial",,,,
bhadrak,Arhar/Tur,2003,Kharif,20.0,1.0,28.255882352941185,1516.57,"Coastal Salt Affected Alluvial, Deltaic Alluvial",,,,
boudh,Arhar/Tur,2001,Kharif,2970.0,0.898989898989899,26.868496732026145,1515.12,Black Soil,,,,
boudh,Arhar/Tur,2002,Kharif,3020.0,0.6986754966887417,27.61127450980392,948.17,Black Soil,,,,
boudh,Arhar/Tur,2003,Kharif,3610.0,0.5013850415512465,27.79856209150327,1665.22,Black Soil,,,,
cuttack,Arhar/Tur,2001,Kharif,1160.0,0.8189655172413793,27.489673202614373,1707.07,"Laterite, Deltaic Alluvial",5.451428571428571,166.58999999999997,11.271428571428572,218.72357142857143
cuttack,Arhar/Tur,2001,Rabi,40.0,0.75,24.81345303867403,114.98,"Laterite, Deltaic Alluvial",5.451428571428571,166.58999999999997,11.271428571428572,218.72357142857143
cuttack,Arhar/Tur,2002,Kharif,890.0,0.8089887640449438,27.980490196078428,1146.57,"Laterite, Deltaic Alluvial",5.451428571428571,166.58999999999997,11.271428571428572,218.72357142857143
cuttack,Arhar/Tur,2003,Kharif,980.0,0.8775510204081632,28.32205882352941,1662.3200000000002,"Laterite, Deltaic Alluvial",5.451428571428571,166.58999999999997,11.271428571428572,218.72357142857143
deogarh,Arhar/Tur,2001,Kharif,410.0,0.5853658536585366,26.576045751633988,1422.13,Mixed Red & Yellow,,,,
deogarh,Arhar/Tur,2002,Kharif,530.0,0.5660377358490566,27.164738562091504,923.59,Mixed Red & Yellow,,,,
deogarh,Arhar/Tur,2003,Kharif,670.0,0.5970149253731343,27.454444444444448,1565.7399999999998,Mixed Red & Yellow,,,,
dhenkanal,Arhar/Tur,2002,Kharif,4220.0,0.7274881516587678,27.980490196078428,1146.57,"Red, Laterite",,,,
dhenkanal,Arhar/Tur,2003,Kharif,4620.0,0.7294372294372294,28.32205882352941,1662.3200000000002,"Red, Laterite",,,,
gajapati,Arhar/Tur,2001,Kharif,4370.0,0.7093821510297483,27.01117647058824,1120.8200000000002,Deltaic Alluvial,,,,
gajapati,Arhar/Tur,2002,Kharif,4360.0,0.970183486238532,27.28330065359477,848.8,Deltaic Alluvial,,,,
gajapati,Arhar/Tur,2003,Kharif,4370.0,1.1510297482837528,27.45911764705883,1380.04,Deltaic Alluvial,,,,
ganjam,Arhar/Tur,2001,Kharif,11620.0,0.7401032702237521,28.065882352941177,1518.27,"Red, Coastal Salt Affected Alluvial, Deltaic Alluvial, Black, Brown Forest",6.5,119.15,101.44999999999999,245.10000000000002
ganjam,Arhar/Tur,2002,Kharif,9150.0,0.6316939890710382,28.38686274509804,1066.4199999999998,"Red, Coastal Salt Affected Alluvial, Deltaic Alluvial, Black, Brown Forest",6.5,119.15,101.44999999999999,245.10000000000002
ganjam,Arhar/Tur,2003,Kharif,11260.0,0.605683836589698,28.50702614379085,1574.7199999999998,"Red, Coastal Salt Affected Alluvial, Deltaic Alluvial, Black, Brown Forest",6.5,119.15,101.44999999999999,245.10000000000002
jagatsinghapur,Arhar/Tur,2001,Kharif,140.0,1.0,27.78055555555555,1679.59,,,,,
jagatsinghapur,Arhar/Tur,2002,Kharif,50.0,0.8,28.148366013071893,1147.07,,,,,
jagatsinghapur,Arhar/Tur,2002,Rabi,50.0,0.8,25.416491712707185,105.78,,,,,
jagatsinghapur,Arhar/Tur,2003,Kharif,130.0,0.7692307692307693,28.53676470588235,1596.22,,,,,
jajapur,Arhar/Tur,2001,Kharif,2860.0,0.3321678321678322,27.40179738562092,1566.42,,,,,
jajapur,Arhar/Tur,2001,Rabi,170.0,0.4705882352941176,25.212071823204425,127.69,,,,,
jajapur,Arhar/Tur,2002,Kharif,1500.0,0.3466666666666667,27.877156862745096,1087.81,,,,,
jajapur,Arhar/Tur,2003,Kharif,2630.0,0.3726235741444867,28.255882352941185,1516.57,,,,,
jharsuguda,Arhar/Tur,2001,Kharif,560.0,0.625,27.07196078431372,1278.56,,,,,
jharsuguda,Arhar/Tur,2002,Kharif,650.0,0.6153846153846154,28.087647058823528,740.09,,,,,
jharsuguda,Arhar/Tur,2003,Kharif,580.0,0.6379310344827587,27.92947712418301,1594.61,,,,,
kalahandi,Arhar/Tur,2001,Kharif,19700.0,0.6071065989847716,26.11555555555556,1115.46,"Red, Black",,,,
kalahandi,Arhar/Tur,2002,Kharif,11640.0,0.5859106529209622,27.05509803921569,757.0,"Red, Black",,,,
kalahandi,Arhar/Tur,2003,Kharif,18560.0,0.7758620689655172,27.276339869281045,1352.59,"Red, Black",,,,
kandhamal,Arhar/Tur,2001,Kharif,5250.0,0.8285714285714286,25.863496732026142,1585.41,Brown Forest,,,,
kandhamal,Arhar/Tur,2002,Kharif,5140.0,0.8482490272373541,26.48699346405229,1030.36,Brown Forest,,,,
kandhamal,Arhar/Tur,2003,Kharif,4910.0,0.8859470468431772,26.81081699346405,1659.89,Brown Forest,,,,
kendrapara,Arhar/Tur,2001,Kharif,20.0,0.5,27.78055555555555,1679.59,"Coastal Salt Affected Alluvial, Deltaic Alluvial",,,,
kendrapara,Arhar/Tur,2001,Rabi,80.0,0.625,25.351491712707183,125.20000000000002,"Coastal Salt Affected Alluvial, Deltaic Alluvial",,,,
kendrapara,Arhar/Tur,2002,Kharif,40.0,1.0,28.148366013071893,1147.07,"Coastal Salt Affected Alluvial, Deltaic Alluvial",,,,
kendrapara,Arhar/Tur,2003,Kharif,20.0,1.0,28.53676470588235,1596.22,"Coastal Salt Affected Alluvial, Deltaic Alluvial",,,,
kendujhar,Arhar/Tur,2001,Kharif,6250.0,0.6944,26.224183006535945,1447.36,,,,,
kendujhar,Arhar/Tur,2002,Kharif,5110.0,0.6027397260273972,26.70761437908497,987.02,,,,,
kendujhar,Arhar/Tur,2003,Kharif,7230.0,0.7662517289073306,27.12101307189544,1504.2199999999998,,,,,
khordha,Arhar/Tur,2001,Kharif,660.0,0.5454545454545454,27.96545751633987,1732.36,"Laterite, Coastal Salt Affected Alluvial",5.38,,12.01,
khordha,Arhar/Tur,2002,Kharif,710.0,0.3661971830985915,28.32091503267974,1178.64,"Laterite, Coastal Salt Affected Alluvial",5.38,,12.01,
khordha,Arhar/Tur,2002,Rabi,20.0,0.5,25.39080110497237,90.7,"Laterite, Coastal Salt Affected Alluvial",5.38,,12.01,
khordha,Arhar/Tur,2003,Kharif,770.0,0.4935064935064935,28.520686274509803,1667.64,"Laterite, Coastal Salt Affected Alluvial",5.38,,12.01,
koraput,Arhar/Tur,2001,Kharif,5460.0,0.3534798534798535,24.17751633986928,1150.9499999999998,Red,,,,
koraput,Arhar/Tur,2002,Kharif,5410.0,0.3382624768946395,24.731111111111108,854.63,Red,,,,
koraput,Arhar/Tur,2003,Kharif,5360.0,0.3973880597014925,25.24114379084968,1433.64,Red,,,,
malkangiri,Arhar/Tur,2001,Kharif,2980.0,0.7583892617449665,25.68803921568627,1045.2800000000002,"Red, Black",,,,
malkangiri,Arhar/Tur,2002,Kharif,1430.0,0.3216783216783216,26.184281045751632,818.76,"Red, Black",,,,
malkangiri,Arhar/Tur,2003,Kharif,2340.0,0.3418803418803419,26.54081699346405,1329.67,"Red, Black",,,,
mayurbhanj,Arhar/Tur,2001,Kharif,6270.0,0.8405103668261563,27.654509803921563,1330.84,"Red, Laterite",,,,
mayurbhanj,Arhar/Tur,2002,Kharif,5740.0,0.735191637630662,28.07754901960784,1019.7,"Red, Laterite",,,,
mayurbhanj,Arhar/Tur,2003,Kharif,7100.0,0.7507042253521127,28.565,1241.92,"Red, Laterite",,,,
nabarangpur,Arhar/Tur,2001,Kharif,4890.0,0.7975460122699386,24.17751633986928,1150.9499999999998,Red,,,,
nabarangpur,Arhar/Tur,2002,Kharif,3380.0,0.6952662721893491,24.731111111111108,854.63,Red,,,,
nabarangpur,Arhar/Tur,2003,Kharif,3910.0,0.4808184143222506,25.24114379084968,1433.64,Red,,,,
nayagarh,Arhar/Tur,2001,Kharif,1390.0,1.2805755395683454,27.41009803921568,1643.25,"Laterite, Brown Forest",,,,
nayagarh,Arhar/Tur,2002,Kharif,1280.0,1.2109375,27.877810457516343,1118.18,"Laterite, Brown Forest",,,,
nayagarh,Arhar/Tur,2003,Kharif,1340.0,0.6119402985074627,28.16732026143791,1629.94,"Laterite, Brown Forest",,,,
nuapada,Arhar/Tur,2001,Kharif,8000.0,0.48,26.28454248366013,1164.07,"Red, Black",,,,
nuapada,Arhar/Tur,2002,Kharif,5370.0,0.3798882681564245,27.46192810457516,749.0,"Red, Black",,,,
nuapada,Arhar/Tur,2003,Kharif,8740.0,0.3455377574370709,27.50248366013072,1412.8000000000002,"Red, Black",,,,
rayagada,Arhar/Tur,2001,Kharif,19000.0,0.6489473684210526,24.300294117647056,975.98,"Red, Brown Forest",,,,
rayagada,Arhar/Tur,2002,Kharif,18540.0,0.6952535059331176,24.852908496732024,766.5899999999999,"Red, Brown Forest",,,,
rayagada,Arhar/Tur,2003,Kharif,18900.0,0.9068783068783068,25.24950980392157,1335.52,"Red, Brown Forest",,,,
sambalpur,Arhar/Tur,2001,Kharif,850.0,0.7176470588235294,27.21676470588235,1325.66,"Laterite, Red & Yellow, Black, Mixed Red & Black",,,,
sambalpur,Arhar/Tur,2002,Kharif,1040.0,0.6442307692307693,28.20607843137256,755.14,"Laterite, Red & Yellow, Black, Mixed Red & Black",,,,
sambalpur,Arhar/Tur,2003,Kharif,1070.0,0.7289719626168224,28.14333333333333,1641.48,"Laterite, Red & Yellow, Black, Mixed Red & Black",,,,
sonepur,Arhar/Tur,2001,Kharif,2340.0,0.5,27.2024183006536,1379.52,"Black, Mixed Red & Black",,,,
sonepur,Arhar/Tur,2002,Kharif,2010.0,0.472636815920398,28.14666666666667,814.06,"Black, Mixed Red & Black",,,,
sonepur,Arhar/Tur,2003,Kharif,2080.0,0.6057692307692307,28.19807189542484,1650.7900000000002,"Black, Mixed Red & Black",,,,
sundargarh,Arhar/Tur,2001,Kharif,6210.0,0.4814814814814814,27.07196078431372,1278.56,Mixed Red & Yellow,,,,
sundargarh,Arhar/Tur,2002,Kharif,4160.0,0.5048076923076923,28.087647058823528,740.09,Mixed Red & Yellow,,,,
sundargarh,Arhar/Tur,2003,Kharif,4270.0,0.5807962529274004,27.92947712418301,1594.61,Mixed Red & Yellow,,,,
gajapati,Bajra,2001,Kharif,1170.0,0.4786324786324786,27.01117647058824,1120.8200000000002,Deltaic Alluvial,,,,
gajapati,Bajra,2002,Kharif,1170.0,0.4615384615384615,27.28330065359477,848.8,Deltaic Alluvial,,,,
gajapati,Bajra,2003,Kharif,1050.0,0.4571428571428571,27.45911764705883,1380.04,Deltaic Alluvial,,,,
ganjam,Bajra,2001,Kharif,430.0,0.6976744186046512,28.065882352941177,1518.27,"Red, Coastal Salt Affected Alluvial, Deltaic Alluvial, Black, Brown Forest",6.5,119.15,101.44999999999999,245.10000000000002
