year,area,avg_temp_c,total_precip_mm,mean_ph,mean_n,mean_p,mean_k,yield_log1p,soil_black,soil_black_soil,soil_brown_forest,soil_coastal_salt_affected_alluvial,soil_deltaic_alluvial,soil_laterite,soil_mixed_red_and_black,soil_mixed_red_and_yellow,soil_red,soil_red_and_yellow,soil_unknown,district_anugul,district_balangir,district_baleshwar,district_bargarh,district_bhadrak,district_boudh,district_cuttack,district_deogarh,district_dhenkanal,district_gajapati,district_ganjam,district_jagatsinghapur,district_jajapur,district_jharsuguda,district_kalahandi,district_kandhamal,district_kendrapara,district_kendujhar,district_khordha,district_koraput,district_malkangiri,district_mayurbhanj,district_nabarangpur,district_nayagarh,district_nuapada,district_puri,district_rayagada,district_sambalpur,district_sonepur,district_sundargarh,season_Autumn,season_Kharif,season_Rabi,season_Summer,season_Whole Year,season_Winter,crop_rice,crop_urad,crop_groundnut,crop_moonggreen_gram,crop_sesamum,crop_maize,crop_ragi,crop_horse-gram,crop_potato,crop_sugarcane,crop_rapeseed_andmustard,crop_wheat,crop_castor_seed,crop_dry_chillies,crop_arhar_tur,crop_sweet_potato,crop_sunflower,crop_onion,crop_garlic,crop_coriander,crop_other
2002,8730.0,27.538856209150325,1014.46,5.862667101425601,154.82709505476282,37.50700353465454,209.97294599139374,0.5265095456685449,0,1,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2003,9500.0,27.802450980392155,1638.73,5.862667101425601,154.82709505476282,37.50700353465454,209.97294599139374,0.5212969236332862,0,1,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2001,10010.0,26.29928104575164,1395.75,5.862667101425601,154.82709505476282,37.50700353465454,209.97294599139374,0.38833622584519717,1,0,0,0,0,0,1,0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2002,7680.0,27.117254901960788,874.9399999999999,5.862667101425601,154.82709505476282,37.50700353465454,209.97294599139374,0.4895062217483961,1,0,0,0,0,0,1,0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2003,9160.0,27.333562091503268,1608.4700000000005,5.862667101425601,154.82709505476282,37.50700353465454,209.97294599139374,0.5763189291266777,1,0,0,0,0,0,1,0,1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2001,270.0,27.87333333333333,1432.77,6.0,139.235,14.115,160.85500000000002,0.4883527679139321,0,0,0,1,1,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2002,180.0,28.327222222222225,1052.77,6.0,139.235,14.115,160.85500000000002,0.5108256237659907,0,0,0,1,1,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2003,150.0,28.627941176470586,1390.98,6.0,139.235,14.115,160.85500000000002,0.4700036292457356,0,0,0,1,1,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2001,2420.0,27.21676470588235,1325.66,5.862667101425601,154.82709505476282,37.50700353465454,209.97294599139374,0.668041259428869,1,0,0,0,0,0,1,1,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2002,2200.0,28.20607843137256,755.14,5.862667101425601,154.82709505476282,37.50700353465454,209.97294599139374,0.5491718287743393,1,0,0,0,0,0,1,1,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
