State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Odisha,ANUGUL,Arhar/Tur,2002-03,Kharif,8730.0,Hectare,6050.0,Tonnes,0.693012600229095
Odisha,ANUGUL,Arhar/Tur,2003-04,Kharif,9500.0,Hectare,6500.0,Tonnes,0.6842105263157895
Odisha,BALANGIR,Arhar/Tur,2001-02,Kharif,10010.0,Hectare,4750.0,Tonnes,0.4745254745254745
Odisha,BALANGIR,Arhar/Tur,2002-03,Kharif,7680.0,Hectare,4850.0,Tonnes,0.6315104166666666
Odisha,BALANGIR,Arhar/Tur,2003-04,Kharif,9160.0,Hectare,7140.0,Tonnes,0.7794759825327511
Odisha,BALESHWAR,Arhar/Tur,2001-02,Kharif,270.0,Hectare,170.0,Tonnes,0.6296296296296297
Odisha,BALESHWAR,Arhar/Tur,2002-03,Kharif,180.0,Hectare,120.0,Tonnes,0.6666666666666666
Odisha,BALESHWAR,Arhar/Tur,2003-04,Kharif,150.0,Hectare,90.0,Tonnes,0.6
Odisha,BARGARH,Arhar/Tur,2001-02,Kharif,2420.0,Hectare,2300.0,Tonnes,0.950413223140496
Odisha,BARGARH,Arhar/Tur,2002-03,Kharif,2200.0,Hectare,1610.0,Tonnes,0.7318181818181818
Odisha,BARGARH,Arhar/Tur,2003-04,Kharif,2260.0,Hectare,1770.0,Tonnes,0.7831858407079646
Odisha,BHADRAK,Arhar/Tur,2001-02,Kharif,20.0,Hectare,20.0,Tonnes,1.0
Odisha,BHADRAK,Arhar/Tur,2002-03,Kharif,30.0,Hectare,30.0,Tonnes,1.0
Odisha,BHADRAK,Arhar/Tur,2003-04,Kharif,20.0,Hectare,20.0,Tonnes,1.0
Odisha,BOUDH,Arhar/Tur,2001-02,Kharif,2970.0,Hectare,2670.0,Tonnes,0.898989898989899
Odisha,BOUDH,Arhar/Tur,2002-03,Kharif,3020.0,Hectare,2110.0,Tonnes,0.6986754966887417
Odisha,BOUDH,Arhar/Tur,2003-04,Kharif,3610.0,Hectare,1810.0,Tonnes,0.5013850415512465
Odisha,CUTTACK,Arhar/Tur,2001-02,Kharif,1160.0,Hectare,950.0,Tonnes,0.8189655172413793
Odisha,CUTTACK,Arhar/Tur,2001-02,Rabi,40.0,Hectare,30.0,Tonnes,0.75
Odisha,CUTTACK,Arhar/Tur,2002-03,Kharif,890.0,Hectare,720.0,Tonnes,0.8089887640449438
Odisha,CUTTACK,Arhar/Tur,2003-04,Kharif,980.0,Hectare,860.0,Tonnes,0.8775510204081632
Odisha,DEOGARH,Arhar/Tur,2001-02,Kharif,410.0,Hectare,240.0,Tonnes,0.5853658536585366
Odisha,DEOGARH,Arhar/Tur,2002-03,Kharif,530.0,Hectare,300.0,Tonnes,0.5660377358490566
Odisha,DEOGARH,Arhar/Tur,2003-04,Kharif,670.0,Hectare,400.0,Tonnes,0.5970149253731343
Odisha,DHENKANAL,Arhar/Tur,2002-03,Kharif,4220.0,Hectare,3070.0,Tonnes,0.7274881516587678
Odisha,DHENKANAL,Arhar/Tur,2003-04,Kharif,4620.0,Hectare,3370.0,Tonnes,0.7294372294372294
Odisha,GAJAPATI,Arhar/Tur,2001-02,Kharif,4370.0,Hectare,3100.0,Tonnes,0.7093821510297483
Odisha,GAJAPATI,Arhar/Tur,2002-03,Kharif,4360.0,Hectare,4230.0,Tonnes,0.970183486238532
Odisha,GAJAPATI,Arhar/Tur,2003-04,Kharif,4370.0,Hectare,5030.0,Tonnes,1.1510297482837528
Odisha,GANJAM,Arhar/Tur,2001-02,Kharif,11620.0,Hectare,8600.0,Tonnes,0.7401032702237521
Odisha,GANJAM,Arhar/Tur,2002-03,Kharif,9150.0,Hectare,5780.0,Tonnes,0.6316939890710382
Odisha,GANJAM,Arhar/Tur,2003-04,Kharif,11260.0,Hectare,6820.0,Tonnes,0.605683836589698
Odisha,JAGATSINGHAPUR,Arhar/Tur,2001-02,Kharif,140.0,Hectare,140.0,Tonnes,1.0
Odisha,JAGATSINGHAPUR,Arhar/Tur,2002-03,Kharif,50.0,Hectare,40.0,Tonnes,0.8
Odisha,JAGATSINGHAPUR,Arhar/Tur,2002-03,Rabi,50.0,Hectare,40.0,Tonnes,0.8
