State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield,Avg_Temp,Total_Precipitation,Crop_Category,Nitrogen,Potassium,Phosphorous
Odisha,ANUGUL,Arhar/Tur,2002-03,Kharif,8730.0,Hectare,6050.0,Tonnes,0.693012600229095,27.538856209150325,1014.46,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,ANUGUL,Arhar/Tur,2003-04,Kharif,9500.0,Hectare,6500.0,Tonnes,0.6842105263157895,27.802450980392155,1638.73,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,BALANGIR,Arhar/Tur,2001-02,Kharif,10010.0,Hectare,4750.0,Tonnes,0.4745254745254745,26.299281045751638,1395.75,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,BALANGIR,Arhar/Tur,2002-03,Kharif,7680.0,Hectare,4850.0,Tonnes,0.6315104166666666,27.117254901960788,874.9399999999999,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,BALANGIR,Arhar/Tur,2003-04,Kharif,9160.0,Hectare,7140.0,Tonnes,0.7794759825327511,27.333562091503268,1608.4700000000005,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,BALESHWAR,Arhar/Tur,2001-02,Kharif,270.0,Hectare,170.0,Tonnes,0.6296296296296297,27.87333333333333,1432.77,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,BALESHWAR,Arhar/Tur,2002-03,Kharif,180.0,Hectare,120.0,Tonnes,0.6666666666666666,28.327222222222225,1052.77,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,BALESHWAR,Arhar/Tur,2003-04,Kharif,150.0,Hectare,90.0,Tonnes,0.6,28.627941176470586,1390.98,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,BARGARH,Arhar/Tur,2001-02,Kharif,2420.0,Hectare,2300.0,Tonnes,0.950413223140496,27.21676470588235,1325.66,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,BARGARH,Arhar/Tur,2002-03,Kharif,2200.0,Hectare,1610.0,Tonnes,0.7318181818181818,28.206078431372557,755.14,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,BARGARH,Arhar/Tur,2003-04,Kharif,2260.0,Hectare,1770.0,Tonnes,0.7831858407079646,28.14333333333333,1641.48,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,BHADRAK,Arhar/Tur,2001-02,Kharif,20.0,Hectare,20.0,Tonnes,1.0,27.40179738562092,1566.42,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,BHADRAK,Arhar/Tur,2002-03,Kharif,30.0,Hectare,30.0,Tonnes,1.0,27.877156862745096,1087.81,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,BHADRAK,Arhar/Tur,2003-04,Kharif,20.0,Hectare,20.0,Tonnes,1.0,28.255882352941185,1516.57,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,BOUDH,Arhar/Tur,2001-02,Kharif,2970.0,Hectare,2670.0,Tonnes,0.898989898989899,26.868496732026145,1515.12,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,BOUDH,Arhar/Tur,2002-03,Kharif,3020.0,Hectare,2110.0,Tonnes,0.6986754966887417,27.61127450980392,948.17,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,BOUDH,Arhar/Tur,2003-04,Kharif,3610.0,Hectare,1810.0,Tonnes,0.5013850415512465,27.79856209150327,1665.22,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,CUTTACK,Arhar/Tur,2001-02,Kharif,1160.0,Hectare,950.0,Tonnes,0.8189655172413793,27.489673202614373,1707.07,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,CUTTACK,Arhar/Tur,2001-02,Rabi,40.0,Hectare,30.0,Tonnes,0.75,24.81345303867403,114.98,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,CUTTACK,Arhar/Tur,2002-03,Kharif,890.0,Hectare,720.0,Tonnes,0.8089887640449438,27.980490196078428,1146.57,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,CUTTACK,Arhar/Tur,2003-04,Kharif,980.0,Hectare,860.0,Tonnes,0.8775510204081632,28.32205882352941,1662.3200000000002,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,DEOGARH,Arhar/Tur,2001-02,Kharif,410.0,Hectare,240.0,Tonnes,0.5853658536585366,26.576045751633988,1422.13,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,DEOGARH,Arhar/Tur,2002-03,Kharif,530.0,Hectare,300.0,Tonnes,0.5660377358490566,27.164738562091504,923.59,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,DEOGARH,Arhar/Tur,2003-04,Kharif,670.0,Hectare,400.0,Tonnes,0.5970149253731343,27.454444444444448,1565.7399999999998,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,DHENKANAL,Arhar/Tur,2002-03,Kharif,4220.0,Hectare,3070.0,Tonnes,0.7274881516587678,27.980490196078428,1146.57,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,DHENKANAL,Arhar/Tur,2003-04,Kharif,4620.0,Hectare,3370.0,Tonnes,0.7294372294372294,28.32205882352941,1662.3200000000002,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,GAJAPATI,Arhar/Tur,2001-02,Kharif,4370.0,Hectare,3100.0,Tonnes,0.7093821510297483,27.01117647058824,1120.8200000000002,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,GAJAPATI,Arhar/Tur,2002-03,Kharif,4360.0,Hectare,4230.0,Tonnes,0.970183486238532,27.28330065359477,848.8,pulses,18.08653846153846,3.927197802197802,18.906593406593405
Odisha,GAJAPATI,Arhar/Tur,2003-04,Kharif,4370.0,Hectare,5030.0,Tonnes,1.1510297482837528,27.45911764705883,1380.04,pulses,18.08653846153846,3.927197802197802,18.906593406593405
